Name,Min_OS,Recom_OS,Min_Direct_X,Min_HDD_Space,Recom_CPU_Max_Temp,Recom_HDD_Space,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Recom_CPU_Max_Temp,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth
Mass Effect 3: Rebellion,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,61.0,1 GB,65.0,2.0,2.75,65.0,61.0,512.0,395.0,10.55,1.0,2.5,6.3
Starena,Windows XP 32-bit,Windows 10 64-bit,DirectX 11,2 GB,30.5,2 GB,55.0,2.0,2.8,55.0,30.5,768.0,899.0,11.05,3.0,6.0,21.6
Epigenesis,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,35.0,2 GB,65.0,2.0,2.215,65.0,35.0,512.0,625.0,11.05,8.5,17.0,40.0
Star Wars Jedi: Survivor,Windows 7 64-bit,Windows 7 64-bit,DirectX 11,55 GB,0.0,55 GB,27.0,4.0,3.5,14.0,0.0,1024.0,1187.5,11.1,15.0,30.0,76.0
Train Giant A-Train 9,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1.2 GB,35.0,1.2 GB,90.0,1.5,2.215,65.0,35.0,896.0,600.0,10.05,6.5,17.5,23.2
Dandara: Trials of Fear Edition,Windows XP 64-bit,Windows 10 64-bit,DirectX 9,1 GB,32.5,1 GB,122.5,1.0,3.2,33.5,32.5,512.0,816.5,10.55,6.5,12.0,37.35
Stone Rage,Windows 10 64-bit,Windows 10 64-bit,DirectX 11,8 GB,50.0,8 GB,32.0,5.0,3.4,14.0,50.0,1024.0,1375.0,11.15,16.5,45.5,88.0
Mr. Prepper,Windows XP 64-bit,Windows 10 64-bit,DirectX 9,5 GB,33.5,5 GB,45.0,2.0,3.35,17.0,33.5,512.0,849.0,11.05,4.0,5.5,20.0
Clutch,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,2 GB,0.0,2 GB,130.0,1.0,2.5835,110.0,0.0,64.0,100.0,9.0,0.0,0.0,1.6
Crusader Kings II: Sword of Islam,Windows XP 32-bit,Windows XP 32-bit,DirectX 9,1 GB,30.0,1 GB,110.0,1.0,2.3665000000000003,65.0,30.0,384.0,950.0,9.5,5.0,8.0,60.8
NekoPara Vol. 1,Windows Vista 32-bit,Windows Vista 32-bit,DirectX 9,0,66.5,0,180.0,1.0,2.1,77.5,66.5,320.0,550.0,9.5,1.0,2.5,6.8
